0;jogador;posicao;id_jogador;id_equipe;jogador_apelido;altura
1;Adriano Jose Faggeane Galvão;Armador;32;19;Di;1.92
2;Adriano de Abreu  Machado;Pivo;848;1;Adriano;1.91
4;Alessandro Magno Rocha Dos Santos;AlaPivo;174;24;Casé;2.03
5;Alex Ribeiro Garcia;Ala;481;3;Alex;1.9
7;Alexandre Henrique Santos Pinheiro;Armador;58;21;Xande;1.85
8;Alexandro da Silva de Oliveira;Ala;147;13;Alex;1.91
9;Alfredo Luiz Perandini;Ala;287;26;Alfredo;1.94
10;Alírio Alves de Souza;Pivo;284;2;Alírio;2.1
11;Amiel Morejon Vega;AlaPivo;339;21;Amiel;1.91
12;Anderson Eurípedes Ferreira;AlaPivo;81;26;Mosso;2.05
13;Anderson Jose De Oliveira;Pivo;352;19;Anderson Tigrão;2.02
14;Andre Luis Fonseca Guimarães;Armador;280;3;Ratto;1.91
15;Andre Luiz G, de Oliveira;Pivo;55;16;Andre;1.91
16;Andre Luiz Marques Ferreira Dos Santos;Ala;320;19;Mudo;1.98
18;André Luiz Bresolin Góes;Ala;57;1;André;1.95
19;André Luiz Brugger De Mello Rodrigues;Armador;241;1;André;1.93
20;André Luiz Quirino Pereira;Pivo;351;10;A, Bambu;2.05
21;André Stefanelli Martins;Ala;447;17;Dedé;1.98
22;André de Souza Silva;Pivo;85;14;Andrezão;1.91
23;Antwine Cyprian Williams;Ala;269;1;A, Williams;1.91
24;Aristides Josuel Dos Santos;Pivo;114;18;Josuel;2.05
25;Arlindo Gomes Baltazar Neto;AlaArmador;23;10;Neto;1.91
26;Arnaldo de Souza Moreira Filho;AlaArmador;275;10;Arnaldinho;1.91
27;Arthur Henrique Stela Bernardi;AlaPivo;327;17;Arthur;2.07
28;Arthur Luiz Belchor Silva;Ala;31;3;Arthur;1.97
29;Atílio Leonardo Gomes de Mello;Pivo;858;17;Atílio ;2.06
30;Audrei Parisotto;Ala;40;27;Audrei;1.91
31;Augusto Cesar Bresolin Goes;AlaPivo;50;1;Augusto;1.95
32;Bruno Enrico Mortari;Ala;118;18;Bruno Mortari;1.86
35;Bruno Pires Fiorotto;Pivo;484;15;B, Fiorotto;2.08
36;Bruno Vieira da Cruz Langsdorff;Armador;348;27;Bruninho;1.88
37;Carlos Alexandre Rodrigues do Nascimento;AlaPivo;482;18;Olivinha;2.03
38;Carlos Henrique Rodrigues Do Nascimento;AlaPivo;298;1;Olivia;2.11
39;Cauê Borges dos Santos;AlaArmador;96;14;Cauê;1.9
40;Cauê Verzola de Freitas;Armador;97;14;Cauê;1.92
41;Charles Márcio Lopes E Silva;Ala;349;16;Charles;2.03
42;Cristiano Baierle;AlaPivo;306;27;Cristiano;2.01
43;Daniel Almiro Zillmer;Ala;828;13;Gaúcho;1.98
44;Daniel Andreev Conti;Pivo;311;18;Daniel Conti;2.02
45;Daniel Fonseca Barreto Soares;Armador;293;2;Daniel;1.9
48;Daniel Nascimento Costa Souza;Pivo;299;13;Daniel Filé;2.07
50;Darlan Ferreira De Oliveira;Pivo;87;26;Darlan;2.07
51;David Da Silva Teles;Pivo;160;3;David;2.04
52;Deivisson Dos Santos Costa;Pivo;25;14;Deivisson;2.1
54;Diego Dos Santos Augusto;Pivo;278;10;Diego;1.75
55;Diego Pinheiro Da Silva;Ala;39;3;Diego;1.95
56;Douglas De Paulo Viegas;AlaPivo;46;1;Viegas;1.96
57;Douglas Grokala Gorauskas;Pivo;773;14;Gorauskas;2.05
59;Eduardo Augusto Reis Baeta;Ala;286;26;Feliz;1.95
60;Eduardo Magalhães Machado;AlaArmador;267;2;Duda;1.91
61;Eduardo Mariano de Oliveira;Ala;140;15;Mariano;1.93
62;Edwandesson Carvalho;AlaArmador;151;24;Eddy;1.96
64;Eric Arthur Romualdo;Armador;315;15;Tatu;1.85
65;Erik Amadeu Duarte Jorge;Armador;266;3;Erik;1.91
66;Evandro Fernandes Pinto;AlaPivo;45;16;Soró;1.9
67;Everton Vinicius De Moraes;AlaPivo;148;13;Everton;1.96
68;Fabiano De Oliveira Souza;AlaPivo;297;1;Fabiano;1.91
69;Fabricio Russo de Oliveira;Ala;309;19;Fabricio;2
70;Facundo Luis Sucatzky;Armador;188;16;Sucatzky;1.77
71;Felipe Gustavo Da Silva;Armador;21;10;Felipe;1.87
72;Felipe Mello De Andrade Figueira;Armador;346;24;Felipe;1.91
74;Fernando Carneiro Coloneze;Pivo;180;2;Coloneze;2.07
75;Fernando Feres Penna;Armador;449;17;F, Penna;1.89
76;Fernando Ferreira Dos Reis;Armador;288;26;Fernando Reis;1.86
77;Fernando Fischer;AlaArmador;149;13;F, Fischer;1.9
78;Fernando Martins Alvim;Pivo;122;2;Fernando;2.02
79;Flavio Aurélio Dos Santos Soares;Armador;294;1;Espiga;1.87
81;Francisco Tardivo Delben;AlaPivo;22;10;Chico;2.02
82;Fransérgio Gilberto Marques;Ala;358;17;Fransérgio;1.89
83;Frederico Lima Santos;Armador;153;2;Fred;1.84
84;Frederico Rossi Dos Santos;Ala;33;3;Rossi;1.95
85;Fábio Schoenberger;Ala;42;1;Fábio Catarina;1.92
86;Gorauskas;AlaArmador;772;14;Gorauskas;1.91
87;Guilherme Barros Da Luz;Armador;295;14;Guilherme Luz;1.89
88;Guilherme Filipin Alves Pereira;Ala;86;18;Filipin;1.91
89;Guilherme Frantz Teichmann;AlaPivo;182;15;Teichmann;2.04
90;Guilherme Pereira Deodato;Ala;146;13;Gui;1.92
91;Guilherme Santos Hubner;AlaPivo;168;16;Guilherme;2.1
92;Guilherme Schneider;Ala;341;21;Schneider;1.91
94;Gustavo NBB 08 Saldanha;Armador;778;24;Gustavo;1.91
95;Gustavo Santos Pereira Lima;Armador;310;18;Lima;1.91
96;Henrique Miguel Nunes;Armador;276;10;Henrique;1.91
98;Hélio Rubens Garcia Filho;Armador;91;14;Helinho;1.83
99;Hélio Vitor Luiz da Costa Lima;AlaArmador;152;2;Hélio;1.87
100;Ian;AlaPivo;207;2;Ian;1.92
101;Icaro Parisotto;Armador;304;27;Icaro;1.85
102;Ildes Henrique Dos Santos;Armador;307;27;Ildes;1.91
103;Isaac Rafael Gonçalves;Ala;794;15;Isaac;1.92
104;Jefferson Campos;AlaArmador;1058;17;Jefferson;1.91
105;Jefferson William Andrade da Silva Antônio;AlaPivo;154;2;Jefferson;2.07
106;Jefferson de Souza Sobral;Pivo;70;1;J, Sobral;2.03
107;Jimmy Dreher de Oliveira;Ala;105;1;Jimmy;1.91
108;Johnnie Nascimento S, Reis;Pivo;736;21;Johnnie;1.91
109;Jorge Luis Amaral Seraphim;Armador;289;26;Jorginho;1.91
110;Joseph Delano Shipp Iii;AlaPivo;442;16;Shipp;1.91
111;José Anibal Arantes Limonta Silva;Armador;80;14;Zezinho;1.84
112;José Estevam Ferreira Junior;Pivo;36;3;Estevão;2.11
113;José Roberto Nardi Duarte;AlaArmador;134;15;Betinho;1.95
115;João Gabriel Abreu Fidélis;Ala;158;24;João;1.88
118;João Victor Chaves Ramalho;Pivo;285;19;João Victor;2
120;Julio Cesar De Toledo;AlaPivo;131;10;Julio;1.91
122;Larry James Taylor Jr;Armador;192;13;Larry;1.91
123;Leandro Da Cruz Silva;AlaPivo;165;16;Leandro Silva;2.03
124;Leandro Sedenir Buboltz;AlaArmador;213;27;Buboltz;2
125;Leonardo De Oliveira Gomes;Armador;338;21;Leo Gomes;1.91
126;Leonardo Di Pacce Dos Santos;Pivo;102;18;Morro;1.91
127;Leonardo Gregório Aparecido do Amaral;Ala;521;10;Leonardo;1.98
128;Lucas Daniel Tischer;Pivo;100;10;Tischer;2.08
129;Lucas Moura Costa;Ala;172;21;Lucão;1.86
130;Lucas Santos Ferreira de Paulo;AlaPivo;176;24;Lucas;1.98
131;Luis Fernando Lima dos Santos;Ala;314;15;Luís Fernando;1.93
132;Luis Fernando Pascotti;Pivo;318;15;Luis Fernando;1.91
133;Luis Fernando da Silva;AlaArmador;138;10;Luisinho;1.83
135;Luiz Felipe Campos Lemes;AlaArmador;155;16;Luiz Felipe;1.9
136;Luiz Felipe Elizeu Mendes Ribeiro;AlaPivo;273;14;Felipe;2
137;Luiz Felipe Faria Azevedo Filho;Ala;61;21;Felipinho;1.9
138;Luiz Gabriel Penna;Armador;344;24;Luga;1.91
139;Manuil Egídio Leal De Souza;Pivo;59;21;Manuil;2.13
140;Marcellus Sarmento Câmara da Silva;Ala;268;2;Marcellus;1.88
141;Marcelo Da Silva;Armador;347;24;Marcelo;1.91
142;Marcelo Machado Pereira;Armador;265;13;Mãozão;1.91
