"","jogador","id_jogador","jogador..3","jogador_apelido","Temporada","id_equipe","equipe","played_minutes","tried_two_points","made_two_points","lost_two_points","two_points","tried_three_points","made_three_points","lost_three_points","three_points","tried_free_throw_points","made_free_throw_points","lost_free_throw_points","tried_points","lost_points","total_points","offensive_rebounds","defensive_rebounds","total_assists","steals","free_throw_points","correct_two_points_throws","wrong_two_points_throws","two_points_throws_total","wrong_throws","tried_dunk_points","dunk_points","correct_three_points_throws","three_points_throws_total","wrong_three_points_throws","correct_free_throws","wrong_free_throws","total_free_throws","total_rebounds","total_of_blocks","commited_fouls","received_fouls","fouls","total_fouls","total_of_errors","mistakes","pos","exp"
"1","Adriano Jose Faggeane Galvão",32,"Adriano Jose Faggeane Galvão","Di","NBB 1",19,"São José",711.5833,0.136315734222543,0.0618339412968236,0.0744817929257193,0.123667882593647,0.157395486937369,0.0477807728202728,0.109614714117096,0.143342318460818,0.130694466831923,0.0997774961835108,0.0309169706484118,0.875512396089116,0.875512396089116,0.366787697237976,0.0112425347812407,0.0716711592304091,0.0815083771639947,0.0309169706484118,0.0997774961835108,0.0618339412968236,0.0744817929257193,0.136315734222543,0.538236352651896,0,0,0.0477807728202728,0.157395486937369,0.109614714117096,0.0997774961835108,0.0309169706484118,0.130694466831923,0.0829136940116498,0.00140531684765508,0.08572432770696,0,0.08572432770696,0.08572432770696,0.0393488717343423,0.0393488717343423,"Armador",2
"2","Adriano de Abreu  Machado",848,"Adriano de Abreu  Machado","Adriano","NBB 1",1,"Joinville",158.66677,0.189075507114691,0.100840270461168,0.0882352366535224,0.201680540922337,0.0378151014229382,0.0126050338076461,0.0252100676152921,0.0378151014229382,0.0819327197496993,0.0567226521344072,0.0252100676152921,0.573529038247895,0.573529038247895,0.296218294479682,0.0693276859420533,0.176470473307045,0.0315125845191151,0.0315125845191151,0.0567226521344072,0.100840270461168,0.0882352366535224,0.189075507114691,0.453781217075258,0.0252100676152921,0.0252100676152921,0.0126050338076461,0.0378151014229382,0.0252100676152921,0.0567226521344072,0.0252100676152921,0.0819327197496993,0.245798159249098,0.0567226521344072,0.170167956403222,0,0.170167956403222,0.170167956403222,0.113445304268814,0.113445304268814,"Pivo",7
"3","Alessandro Magno Rocha Dos Santos",174,"Alessandro Magno Rocha Dos Santos","Casé","NBB 1",24,"Saldanha",529.9331,0.167945727488998,0.0962385629431338,0.0717071645458644,0.192477125886268,0.14907542102956,0.056610919378314,0.0924645016512462,0.169832758134942,0.115108869402572,0.0981255935890776,0.0169832758134942,0.898226587469249,0.898226587469249,0.460435477610287,0.0641590419620892,0.154736512967392,0.0358535822729322,0.0641590419620892,0.0981255935890776,0.0962385629431338,0.0717071645458644,0.167945727488998,0.569883255075027,0.037740612918876,0.037740612918876,0.056610919378314,0.14907542102956,0.0924645016512462,0.0981255935890776,0.0169832758134942,0.115108869402572,0.218895554929481,0.0113221838756628,0.124544022632291,0,0.124544022632291,0.124544022632291,0.0830293484215272,0.0830293484215272,"AlaPivo",4
"4","Alex Ribeiro Garcia",481,"Alex Ribeiro Garcia","Alex","NBB 1",3,"Brasília",1328.3666,0.1791674075515,0.116684656178498,0.062482751373002,0.233369312356995,0.218313227688802,0.06699957677346,0.151313650915342,0.20099873032038,0.22283005308926,0.164864127116716,0.057965925972544,1.23610455125867,1.23610455125867,0.599232169794091,0.0210785185354706,0.143785608581246,0.0797972487414242,0.0406514286041218,0.164864127116716,0.116684656178498,0.062482751373002,0.1791674075515,0.834859894851316,0.0180673016018319,0.0180673016018319,0.06699957677346,0.218313227688802,0.151313650915342,0.164864127116716,0.057965925972544,0.22283005308926,0.164864127116716,0.0210785185354706,0.0963589418764368,0,0.0963589418764368,0.0963589418764368,0.0609771429061827,0.0609771429061827,"Ala",9
"5","Alexandre Henrique Santos Pinheiro",58,"Alexandre Henrique Santos Pinheiro","Xande","NBB 1",21,"Espírito Santo",920.5997,0.107538596851596,0.0662611556358317,0.041277441215764,0.132522311271663,0.097762360774178,0.0217249690609284,0.0760373917132495,0.0651749071827853,0.110797342210735,0.0738648948071567,0.0369324474035783,0.61916161823646,0.61916161823646,0.271562113261605,0.0152074783426499,0.0868998762437137,0.130349814365571,0.0662611556358317,0.0738648948071567,0.0662611556358317,0.041277441215764,0.107538596851596,0.434499381218569,0.00217249690609284,0.00217249690609284,0.0217249690609284,0.097762360774178,0.0760373917132495,0.0738648948071567,0.0369324474035783,0.110797342210735,0.102107354586364,0.00434499381218569,0.0792961370723888,0,0.0792961370723888,0.0792961370723888,0.0727786463541103,0.0727786463541103,"Armador",7
"6","Alexandro da Silva de Oliveira",147,"Alexandro da Silva de Oliveira","Alex","NBB 1",13,"Bauru",1038.49987,0.157920096802708,0.0914781048552274,0.0664419919474809,0.182956209710455,0.12710641937779,0.0423688064592632,0.0847376129185264,0.12710641937779,0.11169958066533,0.0645161371084235,0.0471834435569067,0.808859032404116,0.808859032404116,0.374578766196668,0.0433317338787919,0.0587385725912513,0.0587385725912513,0.0240731854882177,0.0645161371084235,0.0914781048552274,0.0664419919474809,0.157920096802708,0.510351532350216,0.0404429516202058,0.0404429516202058,0.0423688064592632,0.12710641937779,0.0847376129185264,0.0645161371084235,0.0471834435569067,0.11169958066533,0.102070306470043,0.00674049193670096,0.0702937016255958,0,0.0702937016255958,0.0702937016255958,0.0577756451717225,0.0577756451717225,"Ala",9
"7","Alfredo Luiz Perandini",287,"Alfredo Luiz Perandini","Alfredo","NBB 1",26,"Assis",506.7668,0.0986647112636424,0.0493323556318212,0.0493323556318212,0.0986647112636424,0.191409539851466,0.0690652978845497,0.122344241966917,0.207195893653649,0.122344241966917,0.090771534362551,0.0315727076043656,0.8939022840486,0.8939022840486,0.396632139279842,0.025652824928547,0.0473590614065483,0.0414391787307298,0.0157863538021828,0.090771534362551,0.0493323556318212,0.0493323556318212,0.0986647112636424,0.483457085191848,0,0,0.0690652978845497,0.191409539851466,0.122344241966917,0.090771534362551,0.0315727076043656,0.122344241966917,0.0730118863350954,0.00197329422527285,0.0730118863350954,0,0.0730118863350954,0.0730118863350954,0.051305649857094,0.051305649857094,"Ala",2
"8","Alírio Alves de Souza",284,"Alírio Alves de Souza","Alírio","NBB 1",2,"Flamengo",117.58333,0.127569103545545,0.0765414621273271,0.051027641418218,0.153082924254654,0.051027641418218,0.00850460690303634,0.0425230345151817,0.025513820709109,0.0680368552242907,0.051027641418218,0.0170092138060727,0.476257986570035,0.476257986570035,0.229624386381981,0.025513820709109,0.119064496642509,0.0340184276121454,0.0340184276121454,0.051027641418218,0.0765414621273271,0.051027641418218,0.127569103545545,0.365698096830563,0.0170092138060727,0.0170092138060727,0.00850460690303634,0.051027641418218,0.0425230345151817,0.051027641418218,0.0170092138060727,0.0680368552242907,0.144578317351618,0.00850460690303634,0.178596744963763,0,0.178596744963763,0.178596744963763,0.0595322483212544,0.0595322483212544,"Pivo",7
"9","Amiel Morejon Vega",339,"Amiel Morejon Vega","Amiel","NBB 1",21,"Espírito Santo",890.0333,0.261787957821353,0.138197076446466,0.123590881374888,0.276394152892931,0.171903680457799,0.0584247802863106,0.113478900171488,0.175274340858932,0.153926824985088,0.110108239770355,0.043818585214733,1.19321378200119,1.19321378200119,0.561776733522218,0.0449421386817774,0.140444183380554,0.0460656921488218,0.0337066040113331,0.110108239770355,0.138197076446466,0.123590881374888,0.261787957821353,0.777498999194749,0,0,0.0584247802863106,0.171903680457799,0.113478900171488,0.110108239770355,0.043818585214733,0.153926824985088,0.185386322062332,0.00449421386817774,0.0764016357590216,0,0.0764016357590216,0.0764016357590216,0.0573012268192662,0.0573012268192662,"AlaPivo",1
"10","Anderson Eurípedes Ferreira",81,"Anderson Eurípedes Ferreira","Mosso","NBB 1",26,"Assis",739.5001,0.171737637357994,0.106828924025839,0.0649087133321551,0.213657848051677,0.112237983470185,0.0446247404158566,0.0676132430543282,0.13387422124757,0.102772129442579,0.0703177727765013,0.0324543566660775,0.782961354569121,0.782961354569121,0.417849842075748,0.0622041836099819,0.183908021107773,0.021636237777385,0.0283975620828178,0.0703177727765013,0.106828924025839,0.0649087133321551,0.171737637357994,0.519269706657241,0.0270452972217313,0.0270452972217313,0.0446247404158566,0.112237983470185,0.0676132430543282,0.0703177727765013,0.0324543566660775,0.102772129442579,0.246112204717755,0.0202839729162985,0.0865449511095401,0,0.0865449511095401,0.0865449511095401,0.0554428593045491,0.0554428593045491,"AlaPivo",7
