"","predict","Ala","AlaArmador","AlaPivo","Armador","Pivo","X","jogador","id_jogador","Temporada","id_equipe","equipe","jogador_apelido","played_minutes","total_points","lost_points","tried_points","two_points","lost_two_points","tried_two_points","three_points","lost_three_points","free_throw_points","lost_free_throw_points","tried_free_throw_points","tried_three_points","dunk_points","tried_dunk_points","wrong_throws","correct_two_points_throws","two_points_throws_total","wrong_two_points_throws","correct_three_points_throws","three_points_throws_total","wrong_three_points_throws","correct_free_throws","wrong_free_throws","total_free_throws","total_rebounds","offensive_rebounds","defensive_rebounds","total_assists","steals","total_of_blocks","commited_fouls","received_fouls","fouls","total_fouls","total_of_errors","mistakes","total_of_violations","efficiency","plus_minus","altura","posicao"
"1","Armador",0.168494352271238,0.335567981751877,0.0138473115357607,0.472609665123385,0.00948068931773881,1,"Adriano Jose Faggeane Galvão",32,"NBB 1",19,"São José","Di",711.5833,0.366787697237976,0.875512396089116,0.875512396089116,0.123667882593647,0.0744817929257193,0.136315734222543,0.143342318460818,0.109614714117096,0.0997774961835108,0.0309169706484118,0.130694466831923,0.157395486937369,0,0,0.538236352651896,0.0618339412968236,0.136315734222543,0.0744817929257193,0.0477807728202728,0.157395486937369,0.109614714117096,0.0997774961835108,0.0309169706484118,0.130694466831923,0.0829136940116498,0.0112425347812407,0.0716711592304091,0.0815083771639947,0.0309169706484118,0.00140531684765508,0.08572432770696,0,0.08572432770696,0.08572432770696,0.0393488717343423,0.0393488717343423,0,220,0,1.92,"Armador"
"2","Pivo",0.0215090551808375,0.0109533286362079,0.0403961695849501,0.0109725450176888,0.916168901580316,2,"Adriano de Abreu  Machado",848,"NBB 1",1,"Joinville","Adriano",188.700107,0.296767187312724,0.609432616802915,0.609432616802915,0.20137773424792,0.0900900390056483,0.190778906129608,0.047694726532402,0.0370958984140905,0.047694726532402,0.0211976562366231,0.0688923827690252,0.0529941405915578,0.0211976562366231,0.0211976562366231,0.445150780969086,0.10068886712396,0.190778906129608,0.0900900390056483,0.0158982421774673,0.0529941405915578,0.0370958984140905,0.047694726532402,0.0211976562366231,0.0688923827690252,0.227874804543699,0.0635929687098694,0.164281835833829,0.0264970702957789,0.0317964843549347,0.047694726532402,0.20137773424792,0,0.20137773424792,0.20137773424792,0.111287695242271,0.111287695242271,0,70,0,1.91,"Pivo"
"3","AlaPivo",0.0513741796947522,0.0021921985674772,0.867345010480719,0.00211876617306784,0.0769698450839841,4,"Alessandro Magno Rocha Dos Santos",174,"NBB 1",24,"Saldanha","Casé",529.9331,0.460435477610287,0.898226587469249,0.898226587469249,0.192477125886268,0.0717071645458644,0.167945727488998,0.169832758134942,0.0924645016512462,0.0981255935890776,0.0169832758134942,0.115108869402572,0.14907542102956,0.037740612918876,0.037740612918876,0.569883255075027,0.0962385629431338,0.167945727488998,0.0717071645458644,0.056610919378314,0.14907542102956,0.0924645016512462,0.0981255935890776,0.0169832758134942,0.115108869402572,0.218895554929481,0.0641590419620892,0.154736512967392,0.0358535822729322,0.0641590419620892,0.0113221838756628,0.124544022632291,0,0.124544022632291,0.124544022632291,0.0830293484215272,0.0830293484215272,0,279,0,2.03,"AlaPivo"
"4","Ala",0.815810345162421,0.0429547297739496,0.0780597484374184,0.0385716574054447,0.0246035192207666,5,"Alex Ribeiro Garcia",481,"NBB 1",3,"Brasília","Alex",1328.3666,0.599232169794091,1.23610455125867,1.23610455125867,0.233369312356995,0.062482751373002,0.1791674075515,0.20099873032038,0.151313650915342,0.164864127116716,0.057965925972544,0.22283005308926,0.218313227688802,0.0180673016018319,0.0180673016018319,0.834859894851316,0.116684656178498,0.1791674075515,0.062482751373002,0.06699957677346,0.218313227688802,0.151313650915342,0.164864127116716,0.057965925972544,0.22283005308926,0.164864127116716,0.0210785185354706,0.143785608581246,0.0797972487414242,0.0406514286041218,0.0210785185354706,0.0963589418764368,0,0.0963589418764368,0.0963589418764368,0.0609771429061827,0.0609771429061827,0,757,0,1.9,"Ala"
"5","Armador",0.021690915587131,0.0572673821294625,0.0029851104721965,0.916018125984172,0.00203846582703782,7,"Alexandre Henrique Santos Pinheiro",58,"NBB 1",21,"Espírito Santo","Xande",920.5997,0.271562113261605,0.61916161823646,0.61916161823646,0.132522311271663,0.041277441215764,0.107538596851596,0.0651749071827853,0.0760373917132495,0.0738648948071567,0.0369324474035783,0.110797342210735,0.097762360774178,0.00217249690609284,0.00217249690609284,0.434499381218569,0.0662611556358317,0.107538596851596,0.041277441215764,0.0217249690609284,0.097762360774178,0.0760373917132495,0.0738648948071567,0.0369324474035783,0.110797342210735,0.102107354586364,0.0152074783426499,0.0868998762437137,0.130349814365571,0.0662611556358317,0.00434499381218569,0.0792961370723888,0,0.0792961370723888,0.0792961370723888,0.0727786463541103,0.0727786463541103,0,320,0,1.85,"Armador"
"6","Ala",0.717844084248162,0.112777621863239,0.107349389485451,0.0425256415565931,0.0195032628465549,8,"Alexandro da Silva de Oliveira",147,"NBB 1",13,"Bauru","Alex",1038.49987,0.374578766196668,0.808859032404116,0.808859032404116,0.182956209710455,0.0664419919474809,0.157920096802708,0.12710641937779,0.0847376129185264,0.0645161371084235,0.0471834435569067,0.11169958066533,0.12710641937779,0.0404429516202058,0.0404429516202058,0.510351532350216,0.0914781048552274,0.157920096802708,0.0664419919474809,0.0423688064592632,0.12710641937779,0.0847376129185264,0.0645161371084235,0.0471834435569067,0.11169958066533,0.102070306470043,0.0433317338787919,0.0587385725912513,0.0587385725912513,0.0240731854882177,0.00674049193670096,0.0702937016255958,0,0.0702937016255958,0.0702937016255958,0.0577756451717225,0.0577756451717225,0,322,0,1.91,"Ala"
"7","Ala",0.652418872836115,0.157412057708036,0.0842002845208482,0.0871141444510852,0.0188546404839148,9,"Alfredo Luiz Perandini",287,"NBB 1",26,"Assis","Alfredo",506.7668,0.396632139279842,0.8939022840486,0.8939022840486,0.0986647112636424,0.0493323556318212,0.0986647112636424,0.207195893653649,0.122344241966917,0.090771534362551,0.0315727076043656,0.122344241966917,0.191409539851466,0,0,0.483457085191848,0.0493323556318212,0.0986647112636424,0.0493323556318212,0.0690652978845497,0.191409539851466,0.122344241966917,0.090771534362551,0.0315727076043656,0.122344241966917,0.0730118863350954,0.025652824928547,0.0473590614065483,0.0414391787307298,0.0157863538021828,0.00197329422527285,0.0730118863350954,0,0.0730118863350954,0.0730118863350954,0.051305649857094,0.051305649857094,0,139,0,1.94,"Ala"
"8","Pivo",0.143169574343552,0.0475727708562228,0.0764142009349834,0.0523677317651452,0.680475722100097,10,"Alírio Alves de Souza",284,"NBB 1",2,"Flamengo","Alírio",127.68333,0.242788154099678,0.469912556321957,0.469912556321957,0.172301270651384,0.0469912556321957,0.133141890957888,0.0234956278160978,0.0391593796934964,0.0469912556321957,0.0156637518773986,0.0626550075095942,0.0469912556321957,0.0156637518773986,0.0156637518773986,0.368098169118866,0.0861506353256921,0.133141890957888,0.0469912556321957,0.00783187593869928,0.0469912556321957,0.0391593796934964,0.0469912556321957,0.0156637518773986,0.0626550075095942,0.133141890957888,0.0234956278160978,0.10964626314179,0.0391593796934964,0.0313275037547971,0.0156637518773986,0.180133146590083,0,0.180133146590083,0.180133146590083,0.054823131570895,0.054823131570895,0,34,0,2.1,"Pivo"
"9","AlaPivo",0.180050952900458,0.0100155774709075,0.70330460316226,0.00838138323907274,0.0982474832273025,11,"Amiel Morejon Vega",339,"NBB 1",21,"Espírito Santo","Amiel",890.0333,0.561776733522218,1.19321378200119,1.19321378200119,0.276394152892931,0.123590881374888,0.261787957821353,0.175274340858932,0.113478900171488,0.110108239770355,0.043818585214733,0.153926824985088,0.171903680457799,0,0,0.777498999194749,0.138197076446466,0.261787957821353,0.123590881374888,0.0584247802863106,0.171903680457799,0.113478900171488,0.110108239770355,0.043818585214733,0.153926824985088,0.185386322062332,0.0449421386817774,0.140444183380554,0.0460656921488218,0.0337066040113331,0.00449421386817774,0.0764016357590216,0,0.0764016357590216,0.0764016357590216,0.0573012268192662,0.0573012268192662,0,439,0,1.91,"AlaPivo"
"10","AlaPivo",0.028113130617153,0.00230669208029519,0.85098305526074,0.00230763486575312,0.116289487176059,12,"Anderson Eurípedes Ferreira",81,"NBB 1",26,"Assis","Mosso",739.5001,0.417849842075748,0.782961354569121,0.782961354569121,0.213657848051677,0.0649087133321551,0.171737637357994,0.13387422124757,0.0676132430543282,0.0703177727765013,0.0324543566660775,0.102772129442579,0.112237983470185,0.0270452972217313,0.0270452972217313,0.519269706657241,0.106828924025839,0.171737637357994,0.0649087133321551,0.0446247404158566,0.112237983470185,0.0676132430543282,0.0703177727765013,0.0324543566660775,0.102772129442579,0.246112204717755,0.0622041836099819,0.183908021107773,0.021636237777385,0.0283975620828178,0.0202839729162985,0.0865449511095401,0,0.0865449511095401,0.0865449511095401,0.0554428593045491,0.0554428593045491,0,380,0,2.05,"AlaPivo"
